iter	Logloss
0	0.6601393849
5	0.5332788318
10	0.4524266493
15	0.4001427641
20	0.3653675285
25	0.3422917597
30	0.3250703125
35	0.3130725446
40	0.3044260603
45	0.2979611545
50	0.2931966456
55	0.289577691
60	0.2868023624
65	0.2845173921
70	0.2827200211
75	0.281249318
80	0.2800969432
85	0.2791767423
90	0.2784096602
95	0.277703559
100	0.2771422061
105	0.2766460193
110	0.2761896391
115	0.2758154762
120	0.2754449405
125	0.2751552579
130	0.274890563
135	0.2746540489
140	0.2744191778
145	0.2741919023
150	0.2739666729
155	0.2737960689
160	0.2736230779
165	0.2734711992
170	0.273328528
175	0.2731778274
180	0.2730339782
185	0.2729119854
190	0.2728099888
195	0.2726975446
200	0.2725902468
205	0.272484716
210	0.2723809214
215	0.2722782118
220	0.2721749442
225	0.2720857515
230	0.2720065724
235	0.2719299665
240	0.2718527716
245	0.2717783978
250	0.2716970796
255	0.2716270461
260	0.2715633991
265	0.2715118428
270	0.2714391741
275	0.2713767671
280	0.2713196305
285	0.2712426215
290	0.2711957155
295	0.2711489645
300	0.2710821863
305	0.2710379154
310	0.2709561632
315	0.2708711868
320	0.270812562
325	0.2707615637
330	0.2706930804
335	0.2706480655
340	0.270593223
345	0.2705522073
350	0.2705084325
355	0.2704734623
360	0.2704279204
365	0.2703550657
370	0.2703073537
375	0.2702623698
380	0.2702052641
385	0.2701338356
390	0.2700969742
395	0.270062903
400	0.2700248326
405	0.2699862661
410	0.2699519779
415	0.2698985925
420	0.269843812
425	0.2697845052
430	0.2697455047
435	0.26970359
440	0.2696617063
445	0.2696370908
450	0.2695887587
455	0.2695504092
460	0.269516183
465	0.2694610925
470	0.2693957713
475	0.2693502604
480	0.2692992312
485	0.2692613777
490	0.2692241133
495	0.26920266
500	0.269171658
505	0.2691220858
510	0.2690945871
515	0.2690587178
520	0.2690184462
525	0.2689679129
530	0.268922371
535	0.2688967014
540	0.2688636533
545	0.2688330233
550	0.2688160342
555	0.2687990451
560	0.2687699343
565	0.2687330109
570	0.2686957465
575	0.2686656746
580	0.2686147383
585	0.2685868676
590	0.268562686
595	0.2685371714
600	0.2684941096
605	0.268469525
610	0.2684343378
615	0.2684118614
620	0.2683803943
625	0.2683471912
630	0.2683209945
635	0.2683046255
640	0.2682726625
645	0.2682449467
650	0.2682247954
655	0.2682059462
660	0.2681794705
665	0.2681598462
670	0.2681337116
675	0.2681136843
680	0.2680879526
685	0.2680608879
690	0.2680359313
695	0.2680113777
700	0.2679868552
705	0.2679640377
710	0.2679434214
715	0.2679156746
720	0.2678960503
725	0.2678705047
730	0.2678535156
735	0.2678310082
740	0.2678059896
745	0.2677842262
750	0.267765904
755	0.2677519531
760	0.2677377542
765	0.2677161458
770	0.2676986917
775	0.2676815476
780	0.2676613653
785	0.2676422991
790	0.267625465
795	0.2675984623
800	0.2675842324
805	0.2675706225
810	0.2675513083
815	0.2675259487
820	0.2675037822
825	0.267484716
830	0.2674625186
835	0.2674445995
840	0.2674270523
845	0.2674051959
850	0.2673851376
855	0.2673665675
860	0.2673477183
865	0.2673340774
870	0.2673173673
875	0.2673032614
880	0.2672830481
885	0.2672673301
890	0.2672517361
895	0.2672303137
900	0.2672154638
905	0.2671968006
910	0.2671781064
915	0.2671642175
920	0.2671486235
925	0.267125062
930	0.2671034846
935	0.2670830543
940	0.2670695685
945	0.2670536334
950	0.2670402096
955	0.2670220734
960	0.2670019531
965	0.2669853051
970	0.2669675719
975	0.2669436694
980	0.2669324467
985	0.2669091022
990	0.2668934152
995	0.266874752
1000	0.2668571739
1005	0.2668377046
1010	0.2668212426
1015	0.2668050905
1020	0.2667869234
1025	0.2667718874
1030	0.266750682
1035	0.2667398313
1040	0.2667164559
1045	0.2666985987
1050	0.2666839658
1055	0.2666698289
1060	0.2666532738
1065	0.2666386719
1070	0.266624876
1075	0.2666137463
1080	0.2665973152
1085	0.2665826513
1090	0.266562934
1095	0.2665447979
1100	0.2665244606
1105	0.2665094246
1110	0.2664965898
1115	0.2664796627
1120	0.2664699281
1125	0.2664522259
1130	0.2664331287
